Date,Currency,Duration,Fixing_bid,Fixing_ask
1/1/10,RON,1,8.41,8.9
1/2/10,RON,1,8.41,8.9
1/3/10,RON,1,8.41,8.9
1/4/10,RON,1,8.83,9.33
1/5/10,RON,1,8.54,9.04
1/6/10,RON,1,7.84,8.34
1/7/10,RON,1,7.53,8.03
1/8/10,RON,1,6.82,7.32
1/9/10,RON,1,6.82,7.32
1/10/10,RON,1,6.82,7.32
1/11/10,RON,1,6.5,7
1/12/10,RON,1,4.61,5.11
1/13/10,RON,1,3.99,4.49
1/14/10,RON,1,3.39,3.89
1/15/10,RON,1,3.37,3.87
1/16/10,RON,1,3.37,3.87
1/17/10,RON,1,3.37,3.87
1/18/10,RON,1,3.32,3.82
1/19/10,RON,1,3.27,3.77
1/20/10,RON,1,3.23,3.73
1/21/10,RON,1,3.23,3.73
1/22/10,RON,1,3.17,3.67
1/23/10,RON,1,3.17,3.67
1/24/10,RON,1,3.17,3.67
1/25/10,RON,1,7.45,7.95
1/26/10,RON,1,7.3,7.8
1/27/10,RON,1,7.69,8.19
1/28/10,RON,1,7.73,8.23
1/29/10,RON,1,7.98,8.48
1/30/10,RON,1,7.98,8.48
1/31/10,RON,1,7.98,8.48
2/1/10,RON,1,7.65,8.15
2/2/10,RON,1,6.9,7.4
2/3/10,RON,1,6.01,6.51
2/4/10,RON,1,4.96,5.46
2/5/10,RON,1,6.43,6.93
2/6/10,RON,1,6.43,6.93
2/7/10,RON,1,6.43,6.93
2/8/10,RON,1,6.51,7.01
2/9/10,RON,1,6.46,6.96
2/10/10,RON,1,5.89,6.39
2/11/10,RON,1,4.2,4.7
2/12/10,RON,1,4.17,4.67
2/13/10,RON,1,4.17,4.67
2/14/10,RON,1,4.17,4.67
2/15/10,RON,1,3.55,4.05
2/16/10,RON,1,3,3.5
2/17/10,RON,1,2.84,3.34
2/18/10,RON,1,2.74,3.24
2/19/10,RON,1,2.7,3.2
2/20/10,RON,1,2.7,3.2
2/21/10,RON,1,2.7,3.2
2/22/10,RON,1,2.67,3.17
2/23/10,RON,1,2.68,3.18
2/24/10,RON,1,6.57,7.07
2/25/10,RON,1,5.58,6.08
2/26/10,RON,1,5.53,6.03
2/27/10,RON,1,5.53,6.03
2/28/10,RON,1,5.53,6.03
3/1/10,RON,1,5.33,5.83
3/2/10,RON,1,5.04,5.54
3/3/10,RON,1,4.48,4.98
3/4/10,RON,1,3.78,4.28
3/5/10,RON,1,3.38,3.88
3/6/10,RON,1,3.38,3.88
3/7/10,RON,1,3.38,3.88
3/8/10,RON,1,3.05,3.55
3/9/10,RON,1,2.96,3.46
3/10/10,RON,1,2.96,3.46
3/11/10,RON,1,2.89,3.39
3/12/10,RON,1,2.74,3.24
3/13/10,RON,1,2.74,3.24
3/14/10,RON,1,2.74,3.24
