Date,Currency,Duration,con_Bid,con_Ask
20/02/2017,RON,1,0.1,0.4
17/02/2017,RON,1,0.1,0.4
16/02/2017,RON,1,0.1,0.4
15/02/2017,RON,1,0.1,0.4
14/02/2017,RON,1,0.1,0.4
13/02/2017,RON,1,0.1,0.4
10/2/2017,RON,1,0.15,0.45
9/2/2017,RON,1,0.15,0.45
8/2/2017,RON,1,0.15,0.45
7/2/2017,RON,1,0.15,0.45
6/2/2017,RON,1,0.15,0.45
3/2/2017,RON,1,0.17,0.47
2/2/2017,RON,1,0.18,0.48
1/2/2017,RON,1,0.15,0.45
31/01/2017,RON,1,0.15,0.45
30/01/2017,RON,1,0.15,0.45
27/01/2017,RON,1,0.2,0.5
26/01/2017,RON,1,0.2,0.5
25/01/2017,RON,1,0.2,0.5
23/01/2017,RON,1,0.15,0.45
20/01/2017,RON,1,0.1,0.4
19/01/2017,RON,1,0.1,0.4
18/01/2017,RON,1,0.1,0.4
17/01/2017,RON,1,0.1,0.4
16/01/2017,RON,1,0.1,0.4
13/01/2017,RON,1,0.1,0.4
12/1/2017,RON,1,0.1,0.4
11/1/2017,RON,1,0.1,0.4
10/1/2017,RON,1,0.1,0.4
9/1/2017,RON,1,0.1,0.4
6/1/2017,RON,1,0.1,0.4
5/1/2017,RON,1,0.1,0.4
4/1/2017,RON,1,0.15,0.45
3/1/2017,RON,1,0.2,0.5
30/12/2016,RON,1,0.24,0.57
29/12/2016,RON,1,0.25,0.58
28/12/2016,RON,1,0.22,0.55
27/12/2016,RON,1,0.3,0.65
23/12/2016,RON,1,0.24,0.59
22/12/2016,RON,1,0.2,0.5
21/12/2016,RON,1,0.1,0.4
20/12/2016,RON,1,0.1,0.4
19/12/2016,RON,1,0.1,0.4
16/12/2016,RON,1,0.1,0.4
15/12/2016,RON,1,0.15,0.45
14/12/2016,RON,1,0.15,0.45
13/12/2016,RON,1,0.15,0.45
12/12/2016,RON,1,0.15,0.45
9/12/2016,RON,1,0.15,0.45
8/12/2016,RON,1,0.15,0.45
7/12/2016,RON,1,0.15,0.45
6/12/2016,RON,1,0.2,0.5
5/12/2016,RON,1,0.2,0.5
2/12/2016,RON,1,0.2,0.5
29/11/2016,RON,1,0.2,0.5
28/11/2016,RON,1,0.2,0.5
25/11/2016,RON,1,0.2,0.5
24/11/2016,RON,1,0.25,0.55
23/11/2016,RON,1,0.15,0.45
22/11/2016,RON,1,0.15,0.45
21/11/2016,RON,1,0.15,0.45
18/11/2016,RON,1,0.15,0.45
17/11/2016,RON,1,0.15,0.45
16/11/2016,RON,1,0.15,0.45
15/11/2016,RON,1,0.2,0.5
14/11/2016,RON,1,0.2,0.5
11/11/2016,RON,1,0.2,0.5
10/11/2016,RON,1,0.2,0.5
9/11/2016,RON,1,0.25,0.55
8/11/2016,RON,1,0.25,0.55
7/11/2016,RON,1,0.25,0.55
4/11/2016,RON,1,0.25,0.55
3/11/2016,RON,1,0.25,0.55
2/11/2016,RON,1,0.25,0.55
1/11/2016,RON,1,0.3,0.6
31/10/2016,RON,1,0.3,0.6
28/10/2016,RON,1,0.3,0.6
27/10/2016,RON,1,0.25,0.55
26/10/2016,RON,1,0.3,0.6
25/10/2016,RON,1,0.2,0.5
24/10/2016,RON,1,0.2,0.5
21/10/2016,RON,1,0.1,0.4
20/10/2016,RON,1,0.1,0.4
19/10/2016,RON,1,0.1,0.4
18/10/2016,RON,1,0.1,0.4
17/10/2016,RON,1,0.1,0.4
14/10/2016,RON,1,0.1,0.4
13/10/2016,RON,1,0.1,0.4
12/10/2016,RON,1,0.1,0.4
11/10/2016,RON,1,0.1,0.4
10/10/2016,RON,1,0.1,0.4
7/10/2016,RON,1,0.1,0.4
6/10/2016,RON,1,0.1,0.4
5/10/2016,RON,1,0.1,0.4
4/10/2016,RON,1,0.15,0.45
3/10/2016,RON,1,0.15,0.45
30/09/2016,RON,1,0.15,0.45
29/09/2016,RON,1,0.15,0.45
28/09/2016,RON,1,0.15,0.45
27/09/2016,RON,1,0.15,0.45
26/09/2016,RON,1,0.2,0.5
23/09/2016,RON,1,0.1,0.4
22/09/2016,RON,1,0.1,0.4
21/09/2016,RON,1,0.1,0.4
20/09/2016,RON,1,0.1,0.4
19/09/2016,RON,1,0.1,0.4
16/09/2016,RON,1,0.1,0.4
15/09/2016,RON,1,0.1,0.4
14/09/2016,RON,1,0.1,0.4
13/09/2016,RON,1,0.1,0.4
12/9/2016,RON,1,0.1,0.4
9/9/2016,RON,1,0.1,0.4
8/9/2016,RON,1,0.1,0.4
7/9/2016,RON,1,0.1,0.4
6/9/2016,RON,1,0.1,0.4
5/9/2016,RON,1,0.1,0.4
2/9/2016,RON,1,0.1,0.4
1/9/2016,RON,1,0.1,0.4
31/08/2016,RON,1,0.15,0.45
30/08/2016,RON,1,0.2,0.5
29/08/2016,RON,1,0.2,0.5
26/08/2016,RON,1,0.2,0.5
25/08/2016,RON,1,0.2,0.5
24/08/2016,RON,1,0.2,0.5
23/08/2016,RON,1,0.15,0.45
22/08/2016,RON,1,0.15,0.45
19/08/2016,RON,1,0.15,0.45
18/08/2016,RON,1,0.15,0.45
17/08/2016,RON,1,0.15,0.45
16/08/2016,RON,1,0.2,0.5
12/8/2016,RON,1,0.2,0.5
11/8/2016,RON,1,0.15,0.45
10/8/2016,RON,1,0.15,0.45
9/8/2016,RON,1,0.15,0.45
8/8/2016,RON,1,0.15,0.45
5/8/2016,RON,1,0.15,0.45
4/8/2016,RON,1,0.15,0.45
3/8/2016,RON,1,0.15,0.45
2/8/2016,RON,1,0.2,0.5
1/8/2016,RON,1,0.2,0.5
29/07/2016,RON,1,0.25,0.55
28/07/2016,RON,1,0.24,0.54
27/07/2016,RON,1,0.25,0.55
26/07/2016,RON,1,0.25,0.55
25/07/2016,RON,1,0.15,0.45
22/07/2016,RON,1,0.1,0.4
21/07/2016,RON,1,0.1,0.4
20/07/2016,RON,1,0.1,0.4
19/07/2016,RON,1,0.1,0.4
18/07/2016,RON,1,0.1,0.35
15/07/2016,RON,1,0.1,0.35
14/07/2016,RON,1,0.11,0.36
13/07/2016,RON,1,0.1,0.35
12/7/2016,RON,1,0.1,0.35
11/7/2016,RON,1,0.1,0.35
8/7/2016,RON,1,0.1,0.35
7/7/2016,RON,1,0.15,0.4
6/7/2016,RON,1,0.15,0.4
5/7/2016,RON,1,0.15,0.45
4/7/2016,RON,1,0.15,0.45
1/7/2016,RON,1,0.15,0.45
30/06/2016,RON,1,0.15,0.45
29/06/2016,RON,1,0.15,0.45
28/06/2016,RON,1,0.2,0.5
27/06/2016,RON,1,0.2,0.5
24/06/2016,RON,1,0.25,0.55
23/06/2016,RON,1,0.1,0.4
22/06/2016,RON,1,0.1,0.4
21/06/2016,RON,1,0.1,0.4
17/06/2016,RON,1,0.1,0.4
16/06/2016,RON,1,0.1,0.4
15/06/2016,RON,1,0.1,0.4
14/06/2016,RON,1,0.1,0.4
13/06/2016,RON,1,0.1,0.4
10/6/2016,RON,1,0.1,0.4
9/6/2016,RON,1,0.1,0.4
8/6/2016,RON,1,0.1,0.4
7/6/2016,RON,1,0.1,0.4
6/6/2016,RON,1,0.1,0.4
3/6/2016,RON,1,0.1,0.4
