Balance,Avg Rate (for Balance),Day,Mouth,Year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Winter,Spring,Summer,Autumn,Exchange Rate
-0.09146338554137322,0.6211180124223602,1,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.0914604021592511,0.6211180124223602,2,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.09144297327969077,0.6211180124223602,3,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09999999999999999,0.6024096385542169,4,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.09934204542598465,0.6024096385542169,5,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09911764120238435,0.6024096385542169,6,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09884376056168317,0.6024096385542169,7,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09865913890283223,0.6024096385542169,8,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09865426944011149,0.6024096385542169,9,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.0986514536557133,0.6024096385542169,10,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09872109757050145,0.6024096385542169,11,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.09895882616974422,0.6024096385542169,12,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09946110856069296,0.6024096385542169,13,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09826837960328813,0.6024096385542169,14,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09734720445963106,0.6024096385542169,15,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09738025173542426,0.6024096385542169,16,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.09736831150302686,0.6024096385542169,17,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09799609677510047,0.5988023952095809,18,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.09836023542272275,0.5988023952095809,19,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09808491829123217,0.5988023952095809,20,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09470372906434829,0.6024096385542169,21,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.094715537358112,0.6024096385542169,22,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09470867626388564,0.6024096385542169,23,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.09470558947040197,0.6024096385542169,24,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09467397483421644,0.6024096385542169,25,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.0947998317387888,0.6024096385542169,26,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09507241980878854,0.6024096385542169,27,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09442872530494234,0.6024096385542169,28,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09747402473018414,0.5988023952095809,29,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09746855505365722,0.5988023952095809,30,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.0974649991291829,0.5988023952095809,31,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09726775129967552,0.5988023952095809,1,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.09732308750375003,0.5988023952095809,2,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09788764892363427,0.5988023952095809,3,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09792754631065409,0.5988023952095809,4,2,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09098147119483507,0.6024096385542169,5,2,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09105466975037028,0.6024096385542169,6,2,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.09105091399235453,0.6024096385542169,7,2,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09110728174259018,0.6024096385542169,8,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.0909885917446017,0.6024096385542169,9,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09084835352895346,0.6024096385542169,10,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09111671585412864,0.6024096385542169,11,2,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09159981536618854,0.6024096385542169,12,2,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.0915965418617086,0.6024096385542169,13,2,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.0915879079401541,0.6024096385542169,14,2,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09113261224862874,0.6024096385542169,15,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.09121839133118492,0.6024096385542169,16,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09119757098687431,0.6024096385542169,17,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
